bedrooms,location,area,bathrooms,parking,price
3.0,Sea Point,482.0,3,1,11995000.0
2.0,Sea Point,95.0,1.5,2,3390000.0
2.0,Sea Point,185.0,2.5,1,6250000.0
2.0,Sea Point,262.0,2.5,2,7849050.0
2.0,Sea Point,80.0,2,1,5500000.0
1.0,Sea Point,67.0,1,1,3250000.0
3.0,Sea Point,177.0,2.5,2,7250000.0
2.0,Sea Point,77.0,1,1,4950000.0
2.0,Sea Point,144.0,2,2,7495000.0
1.0,Sea Point,48.0,1,1,2100000.0
3.0,Sea Point,250.0,3.5,2,18000000.0
3.0,Sea Point,219.0,2.5,2,7600000.0
2.0,Sea Point,119.0,2,1,5484500.0
2.0,Sea Point,111.0,1,1,2950000.0
3.0,Sea Point,267.0,3.5,2,19495000.0
2.0,Sea Point,116.0,2.5,1,3295000.0
2.0,Sea Point,104.0,2,1,4000000.0
3.0,Sea Point,174.0,2,1,5750000.0
2.0,Sea Point,84.0,1,1,2999000.0
2.0,Sea Point,93.0,2,1,3995000.0
3.0,Sea Point,140.0,3,2,13500000.0
2.0,Sea Point,84.0,1,1,2999000.0
2.0,Sea Point,82.0,2,1,5209000.0
1.0,Sea Point,98.0,1,1,5250000.0
3.0,Sea Point,462.0,3,3,24900000.0
2.0,Sea Point,102.0,2.5,2,5990000.0
1.0,Sea Point,130.0,1,1,4200000.0
3.0,Sea Point,264.0,3.5,2,12900000.0
1.0,Sea Point,60.0,1,1,3950000.0
2.0,Sea Point,180.0,2,4,9500000.0
2.0,Sea Point,83.0,2,1,3385000.0
2.0,Sea Point,97.0,1.5,1,3695000.0
1.0,Sea Point,57.0,1,1,1895000.0
2.0,Sea Point,82.0,2,2,4959000.0
2.0,Sea Point,187.0,2,1,6495000.0
2.0,Sea Point,154.0,2.5,2,7599000.0
3.0,Sea Point,127.0,2,1,5450000.0
2.0,Sea Point,154.0,2.5,2,7599000.0
3.0,Sea Point,146.0,2,1,4999000.0
2.0,Sea Point,144.0,2,1,9495000.0
3.0,Sea Point,221.0,2.5,2,16800000.0
3.0,Sea Point,198.0,2.5,2,15995000.0
3.0,Sea Point,168.0,2.5,2,8795000.0
2.0,Sea Point,194.0,2.5,2,14990000.0
2.0,Sea Point,145.0,2.5,2,7995000.0
3.0,Sea Point,175.0,3,2,6900000.0
2.0,Sea Point,76.0,1,1,2995000.0
2.0,Sea Point,106.0,2,2,5950000.0
2.0,Sea Point,109.0,1.5,1,5500000.0
2.0,Sea Point,104.0,2,1,4350000.0
2.0,Sea Point,106.0,2,2,5950000.0
3.0,Sea Point,182.0,2,1,5230000.0
3.0,Sea Point,110.0,1,1,2500000.0
1.0,Sea Point,65.0,1,1,4017550.0
1.0,Sea Point,61.0,1,1,2991550.0
3.0,Sea Point,144.0,2,1,6395000.0
1.0,Sea Point,68.0,1.5,1,3995000.0
3.0,Sea Point,227.0,3,2,17200000.0
2.0,Sea Point,80.0,1,1,2795000.0
1.0,Sea Point,80.0,1,1,4650000.0
2.0,Sea Point,70.0,2,1,3495000.0
2.0,Sea Point,106.0,1,2,3250000.0
2.0,Sea Point,77.0,2,1,3950000.0
3.0,Sea Point,222.0,3.5,2,19435950.0
1.0,Sea Point,65.0,1,1,3495000.0
2.0,Sea Point,59.0,1,1,2800000.0
3.0,Sea Point,254.0,3,2,18990000.0
3.0,Sea Point,462.0,3,3,24900000.0
2.0,Sea Point,70.0,2,1,3495000.0
2.0,Sea Point,137.0,2,1,6100000.0
3.0,Sea Point,275.0,3,2,21500000.0
2.0,Sea Point,76.0,1,1,3350000.0
2.0,Sea Point,102.0,1.5,1,6990000.0
2.0,Sea Point,109.0,1.5,1,5500000.0
2.0,Sea Point,109.0,2,1,6495000.0
2.0,Sea Point,81.0,2,2,4150000.0
1.0,Sea Point,63.0,1,1,3540000.0
3.0,Sea Point,170.0,2,1,6495000.0
2.0,Sea Point,87.0,1,1,2850000.0
3.0,Sea Point,133.0,2,2,12995000.0
1.0,Sea Point,60.0,1,1,3350000.0
2.0,Sea Point,135.0,1.5,2,5195000.0
2.0,Sea Point,89.0,1,1,3500000.0
2.0,Sea Point,88.0,2,1,3050000.0
1.0,Sea Point,51.0,1,1,2932500.0
4.0,Sea Point,479.0,4,2,19900000.0
2.0,Sea Point,146.0,2.5,2,7200000.0
0,Sea Point,33.0,1,1,1600000.0
4.0,Sea Point,479.0,4,2,24995000.0
2.0,Sea Point,119.0,2,1,5234500.0
2.0,Sea Point,88.0,2,1,3050000.0
3.0,Sea Point,148.0,2,4,6950000.0
0,Sea Point,46.0,1,1,3350000.0
2.0,Sea Point,108.0,2.5,2,5295000.0
2.0,Sea Point,161.0,1,1,2799000.0
3.0,Sea Point,106.0,2,1,5450000.0
2.0,Sea Point,91.0,2,1,3790000.0
2.0,Sea Point,150.0,1.5,2,8895000.0
2.0,Sea Point,80.0,2,2,5500000.0
2.0,Sea Point,117.0,1,1,5100000.0
3.0,Sea Point,232.0,3.5,1,17000000.0
2.0,Sea Point,109.0,2,2,4995000.0
3.0,Sea Point,170.0,2,2,6995000.0
2.0,Sea Point,125.0,2.5,1,9310950.0
2.0,Sea Point,106.0,2,1,4900000.0
